AG006_Contig01	0	100000	8	0	79.427	51.021
AG006_Contig01	100000	200000	26	1	61.184	51.287
AG006_Contig01	200000	300000	31	8	9.073	51.054
AG006_Contig01	300000	400000	30	2	0.391	50.036
AG006_Contig01	400000	500000	27	1	10.77	47.543
AG006_Contig01	500000	600000	28	1	10.096	49.568
AG006_Contig01	600000	700000	30	4	20.945	52.541
AG006_Contig01	700000	800000	39	7	0.47	53.085
AG006_Contig01	800000	900000	28	16	16.303	52.475
AG006_Contig01	900000	1000000	25	4	31.407	49.035
AG006_Contig01	1000000	1100000	24	6	25.409	49.548
AG006_Contig01	1100000	1200000	13	4	67.951	51.086
AG006_Contig01	1200000	1300000	32	7	11.551	52.109
AG006_Contig01	1300000	1400000	26	3	39.566	51.744
AG006_Contig01	1400000	1500000	21	7	53.153	48.686
AG006_Contig01	1500000	1600000	9	4	71.231	43.482
AG006_Contig01	1600000	1700000	26	9	30.958	50.601
AG006_Contig01	1700000	1800000	20	6	32.144	52.151
AG006_Contig01	1800000	1900000	30	5	3.761	51.977
AG006_Contig01	1900000	2000000	31	4	0.287	51.332
AG006_Contig01	2000000	2100000	24	3	18.774	50.101
AG006_Contig01	2100000	2200000	31	0	0.08	50.818
AG006_Contig01	2200000	2300000	29	1	0.168	51.725
AG006_Contig01	2300000	2400000	32	6	0.05	50.989
AG006_Contig01	2400000	2500000	27	1	0.347	50.9
AG006_Contig01	2500000	2600000	33	5	3.237	51.878
AG006_Contig01	2600000	2700000	30	0	0.32	50.94
AG006_Contig01	2700000	2800000	37	4	0.208	51.13
AG006_Contig01	2800000	2900000	34	4	0.061	51.365
AG006_Contig01	2900000	3000000	30	6	9.298	52.94
AG006_Contig01	3000000	3100000	11	3	54.894	49.343
AG006_Contig01	3100000	3200000	38	8	13.139	51.437
AG006_Contig01	3200000	3300000	30	3	0.328	51.845
AG006_Contig01	3300000	3400000	28	0	0.04	50.805
AG006_Contig01	3400000	3500000	29	1	0.07	50.752
AG006_Contig01	3500000	3600000	37	2	0.128	51.639
AG006_Contig01	3600000	3700000	27	0	4.858	51.044
AG006_Contig01	3700000	3800000	32	3	0.078	51.453
AG006_Contig01	3800000	3900000	29	5	0.026	52.677
AG006_Contig01	3900000	4000000	22	2	0.567	51.132
AG006_Contig01	4000000	4100000	28	2	0.0	52.721
AG006_Contig01	4100000	4200000	33	6	0.0	51.795
AG006_Contig01	4200000	4300000	32	4	8.083	49.963
AG006_Contig01	4300000	4400000	35	3	3.502	52.448
AG006_Contig01	4400000	4500000	33	1	2.33	51.002
AG006_Contig01	4500000	4600000	33	2	0.0	51.292
AG006_Contig01	4600000	4700000	32	0	1.416	51.159
AG006_Contig01	4700000	4800000	38	4	7.717	50.199
AG006_Contig01	4800000	4900000	7	0	45.416	31.205
AG006_Contig01	4900000	5000000	23	4	40.545	49.891
AG006_Contig01	5000000	5100000	23	8	27.557	50.423
AG006_Contig01	5100000	5200000	30	7	9.92	52.629
AG006_Contig01	5200000	5300000	34	4	0.0	52.887
AG006_Contig01	5300000	5400000	27	11	16.629	50.506
AG006_Contig01	5400000	5500000	28	6	25.548	50.693
AG006_Contig01	5500000	5600000	31	4	5.235	51.713
AG006_Contig01	5600000	5700000	23	5	34.418	50.91
AG006_Contig01	5700000	5800000	34	8	36.821	50.621
AG006_Contig01	5800000	5900000	22	9	44.075	51.167
AG006_Contig01	5900000	6000000	36	2	3.189	51.748
AG006_Contig01	6000000	6100000	35	6	0.0	51.839
AG006_Contig01	6100000	6200000	33	1	0.347	51.312
AG006_Contig01	6200000	6300000	27	2	0.163	51.673
AG006_Contig01	6300000	6400000	29	3	2.868	51.377
AG006_Contig01	6400000	6500000	31	4	0.1	51.235
AG006_Contig01	6500000	6600000	39	2	0.07	51.68
AG006_Contig01	6600000	6700000	38	2	0.533	52.299
AG006_Contig01	6700000	6800000	30	1	0.0	53.695
AG006_Contig01	6800000	6900000	34	1	0.053	51.615
AG006_Contig01	6900000	7000000	37	3	0.227	51.626
AG006_Contig01	7000000	7100000	31	1	0.122	51.958
AG006_Contig01	7100000	7200000	30	3	0.431	51.459
AG006_Contig01	7200000	7300000	32	5	0.0	52.598
AG006_Contig01	7300000	7400000	30	7	10.252	54.654
AG006_Contig01	7400000	7500000	31	8	6.45	51.107
AG006_Contig01	7500000	7600000	21	4	15.565	52.164
AG006_Contig01	7600000	7700000	24	6	25.844	48.828
AG006_Contig01	7700000	7800000	28	2	14.25	51.763
AG006_Contig01	7800000	7900000	37	5	16.198	52.142
AG006_Contig01	7900000	8000000	11	3	53.452	42.925
AG006_Contig01	8000000	8100000	35	8	9.062	53.179
AG006_Contig01	8100000	8200000	14	5	59.195	47.884
AG006_Contig01	8200000	8300000	33	7	11.604	51.845
AG006_Contig01	8300000	8400000	31	8	8.512	51.396
AG006_Contig01	8400000	8500000	23	8	2.624	52.128
AG006_Contig01	8500000	8600000	36	7	15.643	52.407
AG006_Contig01	8600000	8700000	38	10	17.255	51.638
AG006_Contig01	8700000	8800000	30	3	23.044	50.363
AG006_Contig01	8800000	8900000	28	6	14.062	52.441
AG006_Contig01	8900000	9000000	38	6	0.308	52.256
AG006_Contig01	9000000	9100000	26	1	0.209	50.988
AG006_Contig01	9100000	9200000	29	2	0.221	51.198
AG006_Contig01	9200000	9300000	27	2	0.0	51.71
AG006_Contig01	9300000	9400000	29	0	0.0	51.263
AG006_Contig01	9400000	9500000	34	6	0.0	52.126
AG006_Contig01	9500000	9600000	22	1	44.569	48.416
AG006_Contig01	9600000	9700000	38	7	18.803	51.216
AG006_Contig01	9700000	9800000	17	2	46.546	48.755
AG006_Contig01	9800000	9900000	27	10	20.243	52.591
AG006_Contig01	9900000	10000000	30	8	11.245	52.821
AG006_Contig01	10000000	10100000	28	2	0.133	52.005
AG006_Contig01	10100000	10200000	29	0	0.0	52.359
AG006_Contig01	10200000	10300000	31	6	8.873	51.322
AG006_Contig01	10300000	10400000	38	9	0.987	52.655
AG006_Contig01	10400000	10500000	35	1	0.187	52.813
AG006_Contig01	10500000	10600000	27	2	6.455	52.81
AG006_Contig01	10600000	10700000	35	5	16.736	52.088
AG006_Contig01	10700000	10800000	31	5	10.812	52.769
