AG006_Contig01	3166	457	14.36058605946434	51.02430148215306
AG006_Contig02	2375	252	8.20525704730445	50.83973555712794
AG006_Contig03	371	68	29.227852618957034	50.37008986045657
AG006_Contig04	140	6	34.558085991295165	47.875450839789146
AG006_Contig05	10	3	56.787677678173445	50.17086820860779
AG006_Contig06	1980	303	12.561816722285537	51.33254877158269
AG006_Contig07	1	0	54.83964788459301	46.946135649746
AG006_Contig08	1739	253	10.496237112098031	51.19054161683359
AG006_Contig09	1387	182	7.139614959131078	51.66857135894064
AG006_Contig10	191	8	19.207646407736288	47.99593878213397
AG006_Contig11	31	1	31.42817036508475	48.67582205481535
AG006_Contig12	406	99	20.234609913385412	50.729459681500344
AG006_Contig13	1087	205	16.237699130800294	50.63493538817248
AG006_Contig14	13	3	18.550021717098595	50.76190820906327
AG006_Contig15	4	0	77.72029992433102	51.31182499828025
AG006_Contig17	6	0	26.146257363153104	44.94133422728797
AG006_Contig18	5	0	87.23437734152554	52.567061291772816
AG006_Contig20	27	0	20.801086218601494	51.489477257298034
AG006_Contig21	12	1	36.35766123510886	49.778173353416406
AG006_Contig22	2	0	70.0659602699948	46.6894867406396
AG006_Contig24	1	0	77.02396265697729	43.734832712275725
