contig_1_pilon_pilon	11262.0	secreted_protein	Br62_g1.t1
contig_1_pilon_pilon	15630.0	not_secreted_protein	Br62_g2.t1
contig_1_pilon_pilon	17808.5	not_secreted_protein	Br62_g3.t1
contig_1_pilon_pilon	20884.5	not_secreted_protein	Br62_g4.t1
contig_1_pilon_pilon	22958.0	not_secreted_protein	Br62_g5.t1
contig_1_pilon_pilon	25495.0	not_secreted_protein	Br62_g6.t1
contig_1_pilon_pilon	27251.5	not_secreted_protein	Br62_g7.t1
contig_1_pilon_pilon	28794.5	not_secreted_protein	Br62_g8.t1
contig_1_pilon_pilon	31534.0	not_secreted_protein	Br62_g9.t1
contig_1_pilon_pilon	33919.0	not_secreted_protein	Br62_g10.t1
contig_1_pilon_pilon	38464.5	not_secreted_protein	Br62_g11.t1
contig_1_pilon_pilon	40588.5	not_secreted_protein	Br62_g12.t1
contig_1_pilon_pilon	43582.0	not_secreted_protein	Br62_g13.t1
contig_1_pilon_pilon	53807.0	not_secreted_protein	Br62_g14.t1
contig_1_pilon_pilon	56240.0	not_secreted_protein	Br62_g15.t1
contig_1_pilon_pilon	57998.5	not_secreted_protein	Br62_g16.t1
contig_1_pilon_pilon	59710.0	not_secreted_protein	Br62_g17.t1
contig_1_pilon_pilon	61096.0	not_secreted_protein	Br62_g18.t1
contig_1_pilon_pilon	64123.5	not_secreted_protein	Br62_g20.t1
contig_1_pilon_pilon	66426.5	not_secreted_protein	Br62_g21.t1
contig_1_pilon_pilon	69144.0	not_secreted_protein	Br62_g22.t1
contig_1_pilon_pilon	71234.5	not_secreted_protein	Br62_g23.t1
contig_1_pilon_pilon	74675.5	not_secreted_protein	Br62_g24.t1
contig_1_pilon_pilon	76423.5	not_secreted_protein	Br62_g25.t1
contig_1_pilon_pilon	77770.0	not_secreted_protein	Br62_g26.t1
contig_1_pilon_pilon	79501.5	not_secreted_protein	Br62_g27.t1,Br62_g28.t1
contig_1_pilon_pilon	82457.0	not_secreted_protein	Br62_g29.t1
contig_1_pilon_pilon	93437.0	not_secreted_protein	Br62_g30.t1
contig_1_pilon_pilon	98311.5	secreted_protein	Br62_g31.t1
contig_1_pilon_pilon	104946.5	secreted_protein	Br62_g32.t1
